Ticker,Price,Beta
TMHC,31.57,2.059439
LSXMA,46.48,1.350675
UMBF,94.59,1.063208
EYE,50.31,1.845871
PNM,49.68,1.253353
SR,76.37,0.988333
ADC,71.11,1.104495
HGV,42.74,1.757759
HLF,46.64,0.885776
QTS,66.42,0.857045
SWX,71.93,1.073825
WTM,1222.87,0.965223
UNVR,22.97,1.637593
WING,142.37,1.305319
NWE,68.24,1.246317
R,74.77,1.235874
JWN,37.6,1.654347
GKOS,94.99,1.633187
EGHT,33.73,0.970666
LPSN,55.66,1.261399
KBH,47.83,1.917396
AQUA,28.5,1.837703
LBRDA,154.86,1.003264
ENV,72.81,1.183273
SAVE,37.29,2.390059
MUSA,141.57,0.724272
SAGE,76.47,1.263516
XRX,24.38,1.403152
NJR,42.86,0.964304
EPR,47.68,1.772829
SONO,41.34,0.882821
AIMC,63.45,1.555653
PCH,59.39,1.228344
LANC,185.77,0.716227
BHVN,74.83,1.180203
LCII,146.97,1.396875
ITRI,92.44,1.15287
JBGS,32.17,1.153866
ARNA,66.92,0.890778
PPBI,43.89,1.39573
HAIN,40.9,0.456472
UMPQ,18.49,1.102147
ORA,76.69,0.726612
AMC,10.16,0.371463
DIOD,82.44,1.112766
VIAV,16.85,1.120468
QLYS,102.89,0.614242
KEX,61.73,1.274884
